EXPERIMENT_NUMBER,NETWORK_ARCH,DATASET,NUMBER_OF_CLIENTS,CUT_LAYER,TB_INJECT,FIXED_ALPHA,TRAIN_ACCURACY,VALIDATION_ACCURACY,TEST_ACCURACY,BD_TEST_ACCURACY
0,resnet9,mnist,1,1,FALSE,TRUE,100,99.46,99.55,0.177383592
0,resnet9,mnist,1,2,FALSE,TRUE,100,99.45,99.52,0.232815965
0,resnet9,mnist,1,3,FALSE,TRUE,100,99.47,99.49,0.210643016
0,resnet9,mnist,3,1,FALSE,TRUE,100,99.48,99.56,0.166297118
0,resnet9,mnist,3,2,FALSE,TRUE,100,99.47,99.6,0.155210643
0,resnet9,mnist,3,3,FALSE,TRUE,100,99.43,99.56,0.166297118
0,resnet9,mnist,5,1,FALSE,TRUE,100,99.48,99.54,0.110864745
0,resnet9,mnist,5,2,FALSE,TRUE,100,99.5,99.53,0.144124169
0,resnet9,mnist,5,3,FALSE,TRUE,100,99.36,99.43,0.166297118
0,resnet9,mnist,7,1,FALSE,TRUE,100,99.52,99.56,0.133037694
0,resnet9,mnist,7,2,FALSE,TRUE,100,99.53,99.51,0.099778271
0,resnet9,mnist,7,3,FALSE,TRUE,100,99.43,99.5,0.110864745
0,lenet,mnist,1,1,FALSE,TRUE,99.992,98.59,98.72,0.199556541
0,lenet,mnist,1,2,FALSE,TRUE,99.984,98.53,98.74,0.232815965
0,lenet,mnist,1,3,FALSE,TRUE,99.996,98.75,98.69,0.277161863
0,lenet,mnist,3,1,FALSE,TRUE,99.992,99.01,99.07,0.133037694
0,lenet,mnist,3,2,FALSE,TRUE,99.992,98.98,99.04,0.133037694
0,lenet,mnist,3,3,FALSE,TRUE,99.992,98.9,99.04,0.099778271
0,lenet,mnist,5,1,FALSE,TRUE,99.98799952,99.06,98.94,0.12195122
0,lenet,mnist,5,2,FALSE,TRUE,100,98.96,99.04,0.199556541
0,lenet,mnist,5,3,FALSE,TRUE,99.98799952,99.07,99.21,0.166297118
0,lenet,mnist,7,1,FALSE,TRUE,100,99.05,99.04,0.133037694
0,lenet,mnist,7,2,FALSE,TRUE,100,99.08,99.09,0.12195122
0,lenet,mnist,7,3,FALSE,TRUE,100,99.15,99.14,0.12195122
0,stripnet,mnist,1,1,FALSE,TRUE,99.98,99.41,99.46,0.155210643
0,stripnet,mnist,1,2,FALSE,TRUE,99.996,99.48,99.49,0.088691796
0,stripnet,mnist,1,3,FALSE,TRUE,99.984,99.39,99.45,0.12195122
0,stripnet,mnist,3,1,FALSE,TRUE,100,99.59,99.56,0.133037694
0,stripnet,mnist,3,2,FALSE,TRUE,99.952,99.42,99.55,0.144124169
0,stripnet,mnist,3,3,FALSE,TRUE,100,99.47,99.47,0.099778271
0,stripnet,mnist,5,1,FALSE,TRUE,99.97599904,99.59,99.59,0.088691796
0,stripnet,mnist,5,2,FALSE,TRUE,99.98799952,99.5,99.55,0.077605322
0,stripnet,mnist,5,3,FALSE,TRUE,99.97599904,99.51,99.58,0.099778271
0,stripnet,mnist,7,1,FALSE,TRUE,100,99.45,99.55,0.077605322
0,stripnet,mnist,7,2,FALSE,TRUE,99.984,99.49,99.61,0.077605322
0,stripnet,mnist,7,3,FALSE,TRUE,99.984,99.57,99.54,0.12195122
0.0,resnet9,cifar10,1,1,False,True,100.0,86.26,86.48,1.5326521545979566
0.0,resnet9,cifar10,1,2,False,True,100.0,86.16,86.72,1.5770768547312304
0.0,resnet9,cifar10,1,3,False,True,100.0,86.4,86.46000000000001,1.9768991559306976
0.0,resnet9,cifar10,3,1,False,True,100.0,88.64,89.12,1.4215904042647711
0.0,resnet9,cifar10,3,2,False,True,100.0,88.32,88.86,1.399378054198134
0.0,resnet9,cifar10,3,3,False,True,100.0,87.92,88.78,1.4215904042647711
0.0,resnet9,cifar10,5,1,False,True,100.0,88.6,89.34,1.9324744557974234
0.0,resnet9,cifar10,5,2,False,True,100.0,88.26,89.02,1.1994669035984007
0.0,resnet9,cifar10,5,3,False,True,100.0,88.4,88.2,1.4882274544646823
0.0,resnet9,cifar10,7,1,False,True,100.0,88.44,89.38000000000001,1.4660151043980452
0.0,resnet9,cifar10,7,2,False,True,100.0,89.05999999999999,89.32,1.1550422034651266
0.0,resnet9,cifar10,7,3,False,True,100.0,88.3,88.36,1.2216792536650378
0.0,lenet,cifar10,1,1,False,True,87.884,59.419999999999995,60.18,3.4873389604620173
0.0,lenet,cifar10,1,2,False,True,89.804,60.660000000000004,61.31999999999999,3.220790759662372
0.0,lenet,cifar10,1,3,False,True,90.12400000000001,59.760000000000005,59.34,3.9315859617947577
0.0,lenet,cifar10,3,1,False,True,90.12,61.3,62.32,3.4207019102621055
0.0,lenet,cifar10,3,2,False,True,91.50399999999999,61.22,61.44,4.087072412261217
0.0,lenet,cifar10,3,3,False,True,91.78399999999999,61.63999999999999,62.53999999999999,3.3762772101288316
0.0,lenet,cifar10,5,1,False,True,89.84759390375615,62.839999999999996,63.88,3.998223011994669
0.0,lenet,cifar10,5,2,False,True,88.83955358214328,62.46000000000001,64.08,3.976010661928032
0.0,lenet,cifar10,5,3,False,True,89.65558622344894,62.82,63.9,3.6428254109284763
0.0,lenet,cifar10,7,1,False,True,90.01599999999999,63.339999999999996,64.53999999999999,3.220790759662372
0.0,lenet,cifar10,7,2,False,True,89.84,64.3,64.42,3.4207019102621055
0.0,lenet,cifar10,7,3,False,True,90.52799999999999,62.62,64.14,3.9537983118613953
0.0,stripnet,cifar10,1,1,False,True,95.948,80.56,81.26,1.7325633051976899
0.0,stripnet,cifar10,1,2,False,True,95.916,80.82000000000001,81.44,1.776988005330964
0.0,stripnet,cifar10,1,3,False,True,96.26400000000001,80.52,81.14,2.11017325633052
0.0,stripnet,cifar10,3,1,False,True,95.832,83.52000000000001,83.66,1.6659262549977787
0.0,stripnet,cifar10,3,2,False,True,95.592,83.39999999999999,83.17999999999999,1.9324744557974234
0.0,stripnet,cifar10,3,3,False,True,95.552,82.98,83.32000000000001,1.6881386050644158
0.0,stripnet,cifar10,5,1,False,True,94.68378735149406,83.84,84.61999999999999,1.5992892047978675
0.0,stripnet,cifar10,5,2,False,True,94.77979119164766,83.76,84.56,1.3771657041314973
0.0,stripnet,cifar10,5,3,False,True,95.03180127205088,83.91999999999999,83.64,1.799200355397601
0.0,stripnet,cifar10,7,1,False,True,95.12,83.74000000000001,84.04,0.9551310528653931
0.0,stripnet,cifar10,7,2,False,True,95.312,83.78,84.92,1.1994669035984007
0.0,stripnet,cifar10,7,3,False,True,95.52000000000001,83.86,84.7,1.3771657041314973
0.0,resnet9,fmnist,1,1,False,True,100.0,93.46,92.97,0.9666666666666667
0.0,resnet9,fmnist,1,2,False,True,100.0,93.56,93.07,1.1333333333333333
0.0,resnet9,fmnist,1,3,False,True,100.0,93.41000000000001,92.95,1.6222222222222222
0.0,resnet9,fmnist,3,1,False,True,100.0,94.04,93.43,1.2666666666666666
0.0,resnet9,fmnist,3,2,False,True,100.0,93.69,93.5,1.0444444444444443
0.0,resnet9,fmnist,3,3,False,True,100.0,93.58,93.25,1.3444444444444446
0.0,resnet9,fmnist,5,1,False,True,100.0,94.08,93.58999999999999,1.588888888888889
0.0,resnet9,fmnist,5,2,False,True,100.0,93.92,93.4,1.4444444444444444
0.0,resnet9,fmnist,5,3,False,True,100.0,93.69,93.2,1.0444444444444443
0.0,resnet9,fmnist,7,1,False,True,100.0,94.08,93.78,1.3333333333333335
0.0,resnet9,fmnist,7,2,False,True,100.0,94.04,93.54,1.2222222222222223
0.0,resnet9,fmnist,7,3,False,True,100.0,93.55,93.28,1.488888888888889
0.0,lenet,fmnist,1,1,False,True,95.292,89.97,88.86,1.7888888888888888
0.0,lenet,fmnist,1,2,False,True,95.492,90.18,88.87,1.9777777777777776
0.0,lenet,fmnist,1,3,False,True,95.572,89.78,88.96,1.8444444444444443
0.0,lenet,fmnist,3,1,False,True,96.84,90.47,89.82,2.1999999999999997
0.0,lenet,fmnist,3,2,False,True,96.624,90.3,89.73,2.788888888888889
0.0,lenet,fmnist,3,3,False,True,97.21600000000001,90.53,89.79,3.111111111111111
0.0,lenet,fmnist,5,1,False,True,96.59186367454699,90.7,90.14,3.6888888888888887
0.0,lenet,fmnist,5,2,False,True,96.7478699147966,90.60000000000001,90.09,3.644444444444445
0.0,lenet,fmnist,5,3,False,True,97.55190207608304,90.57,90.0,2.8444444444444446
0.0,lenet,fmnist,7,1,False,True,97.232,90.78,90.01,3.6777777777777776
0.0,lenet,fmnist,7,2,False,True,97.2,90.44,89.81,2.9555555555555557
0.0,lenet,fmnist,7,3,False,True,97.712,90.39,89.92999999999999,4.488888888888889
0.0,stripnet,fmnist,1,1,False,True,99.376,92.72,92.51,1.588888888888889
0.0,stripnet,fmnist,1,2,False,True,99.332,92.78,92.5,1.7666666666666668
0.0,stripnet,fmnist,1,3,False,True,99.336,93.0,92.30000000000001,1.7888888888888888
0.0,stripnet,fmnist,3,1,False,True,99.36,93.45,93.23,2.3
0.0,stripnet,fmnist,3,2,False,True,99.18400000000001,93.51,93.21000000000001,1.6777777777777776
0.0,stripnet,fmnist,3,3,False,True,99.288,93.58999999999999,93.37,1.7555555555555558
0.0,stripnet,fmnist,5,1,False,True,99.23196927877115,93.87,93.55,1.8222222222222224
0.0,stripnet,fmnist,5,2,False,True,99.07596303852154,93.67999999999999,93.58999999999999,1.7999999999999998
0.0,stripnet,fmnist,5,3,False,True,99.05196207848313,93.64,93.22,1.866666666666667
0.0,stripnet,fmnist,7,1,False,True,99.248,93.96,93.39,1.988888888888889
0.0,stripnet,fmnist,7,2,False,True,99.29599999999999,93.60000000000001,93.60000000000001,2.6444444444444444
0.0,stripnet,fmnist,7,3,False,True,98.992,93.66,93.22,2.1777777777777776
